job_id,puzzle_id,status,tiles_placed,duration,solver_id,current_state
55290,55290,solved1,4101271,2239273157,16,"[{""Idx"":0,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":15,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":14,""Rot"":false},{""Idx"":8,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":4,""Rot"":true},{""Idx"":19,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":1,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":5,""Rot"":false},{""Idx"":18,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":11,""Rot"":true},{""Idx"":16,""Rot"":false}]"
55194,55194,solved1,10872307,6532683754,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":6,""Rot"":false},{""Idx"":16,""Rot"":false},{""Idx"":11,""Rot"":false},{""Idx"":12,""Rot"":true},{""Idx"":4,""Rot"":true},{""Idx"":10,""Rot"":false},{""Idx"":5,""Rot"":false},{""Idx"":18,""Rot"":false},{""Idx"":15,""Rot"":false},{""Idx"":13,""Rot"":true},{""Idx"":19,""Rot"":true},{""Idx"":8,""Rot"":false},{""Idx"":9,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":14,""Rot"":false}]"
55144,55144,solved1,24205391,13146047767,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":16,""Rot"":false},{""Idx"":14,""Rot"":false},{""Idx"":3,""Rot"":true},{""Idx"":5,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":12,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":17,""Rot"":false},{""Idx"":6,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":18,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":19,""Rot"":true},{""Idx"":10,""Rot"":false}]"
55123,55123,solved1,519660,328062996,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":5,""Rot"":true},{""Idx"":12,""Rot"":false},{""Idx"":8,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":19,""Rot"":false},{""Idx"":10,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":16,""Rot"":true},{""Idx"":9,""Rot"":false},{""Idx"":15,""Rot"":true},{""Idx"":13,""Rot"":false},{""Idx"":4,""Rot"":false},{""Idx"":18,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":17,""Rot"":false}]"
55113,55113,solved1,78647,45873632,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":5,""Rot"":true},{""Idx"":4,""Rot"":false},{""Idx"":13,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":6,""Rot"":false},{""Idx"":11,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":16,""Rot"":false},{""Idx"":15,""Rot"":false},{""Idx"":19,""Rot"":false},{""Idx"":18,""Rot"":false}]"
55103,55103,solved1,4264798,2365404185,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":8,""Rot"":false},{""Idx"":14,""Rot"":true},{""Idx"":2,""Rot"":true},{""Idx"":11,""Rot"":false},{""Idx"":13,""Rot"":false},{""Idx"":6,""Rot"":true},{""Idx"":16,""Rot"":true},{""Idx"":18,""Rot"":false},{""Idx"":17,""Rot"":true},{""Idx"":12,""Rot"":false},{""Idx"":3,""Rot"":true},{""Idx"":19,""Rot"":false},{""Idx"":5,""Rot"":false},{""Idx"":10,""Rot"":true},{""Idx"":7,""Rot"":false}]"
55051,55051,solved1,1410368,745391645,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":3,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":14,""Rot"":false},{""Idx"":16,""Rot"":true},{""Idx"":13,""Rot"":false},{""Idx"":8,""Rot"":false},{""Idx"":11,""Rot"":true},{""Idx"":2,""Rot"":true},{""Idx"":4,""Rot"":false},{""Idx"":9,""Rot"":false},{""Idx"":5,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":7,""Rot"":false},{""Idx"":17,""Rot"":false},{""Idx"":10,""Rot"":false},{""Idx"":12,""Rot"":false},{""Idx"":19,""Rot"":true},{""Idx"":18,""Rot"":true}]"
55043,55043,solved1,5124675,2940525378,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":3,""Rot"":true},{""Idx"":10,""Rot"":false},{""Idx"":12,""Rot"":false},{""Idx"":4,""Rot"":false},{""Idx"":17,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":11,""Rot"":false},{""Idx"":15,""Rot"":true},{""Idx"":19,""Rot"":false},{""Idx"":5,""Rot"":false},{""Idx"":18,""Rot"":false},{""Idx"":16,""Rot"":false}]"
55033,55033,solved1,18670557,10794146837,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":5,""Rot"":true},{""Idx"":3,""Rot"":true},{""Idx"":18,""Rot"":false},{""Idx"":15,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":16,""Rot"":true},{""Idx"":9,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":17,""Rot"":false},{""Idx"":11,""Rot"":false},{""Idx"":8,""Rot"":true},{""Idx"":19,""Rot"":false},{""Idx"":14,""Rot"":true},{""Idx"":12,""Rot"":false},{""Idx"":6,""Rot"":false},{""Idx"":13,""Rot"":false},{""Idx"":10,""Rot"":false}]"
54710,54710,solved1,966408,521449202,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":true},{""Idx"":3,""Rot"":false},{""Idx"":6,""Rot"":false},{""Idx"":14,""Rot"":false},{""Idx"":5,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":15,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":12,""Rot"":false},{""Idx"":16,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":17,""Rot"":false},{""Idx"":19,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":18,""Rot"":true}]"
54582,54582,solved1,226062,116787859,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":true},{""Idx"":5,""Rot"":true},{""Idx"":19,""Rot"":false},{""Idx"":6,""Rot"":true},{""Idx"":16,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":18,""Rot"":false},{""Idx"":3,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":13,""Rot"":false},{""Idx"":17,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":4,""Rot"":false},{""Idx"":8,""Rot"":false},{""Idx"":14,""Rot"":false}]"
54539,54539,solved1,48561146,29224077356,16,"[{""Idx"":0,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":2,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":8,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":16,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":1,""Rot"":false},{""Idx"":9,""Rot"":true},{""Idx"":14,""Rot"":false},{""Idx"":18,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":4,""Rot"":true},{""Idx"":10,""Rot"":false},{""Idx"":12,""Rot"":false},{""Idx"":19,""Rot"":false},{""Idx"":5,""Rot"":true}]"
53882,53882,solved1,1094029,570778411,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":true},{""Idx"":5,""Rot"":true},{""Idx"":16,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":11,""Rot"":false},{""Idx"":2,""Rot"":true},{""Idx"":3,""Rot"":false},{""Idx"":10,""Rot"":true},{""Idx"":19,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":4,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":8,""Rot"":false},{""Idx"":9,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":18,""Rot"":false}]"
53872,53872,solved1,1150012,639777883,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":11,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":3,""Rot"":true},{""Idx"":15,""Rot"":false},{""Idx"":4,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":9,""Rot"":false},{""Idx"":17,""Rot"":true},{""Idx"":13,""Rot"":false},{""Idx"":8,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":5,""Rot"":false},{""Idx"":10,""Rot"":true},{""Idx"":16,""Rot"":true},{""Idx"":18,""Rot"":true},{""Idx"":19,""Rot"":false}]"
52514,52514,solved1,9764580,5189403828,16,"[{""Idx"":0,""Rot"":true},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":true},{""Idx"":18,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":16,""Rot"":false},{""Idx"":5,""Rot"":true},{""Idx"":10,""Rot"":false},{""Idx"":11,""Rot"":true},{""Idx"":14,""Rot"":false},{""Idx"":12,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":15,""Rot"":false},{""Idx"":19,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":3,""Rot"":false},{""Idx"":8,""Rot"":true},{""Idx"":9,""Rot"":false}]"
52473,52473,solved1,4182149,2286234783,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":6,""Rot"":true},{""Idx"":4,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":15,""Rot"":false},{""Idx"":16,""Rot"":false},{""Idx"":9,""Rot"":false},{""Idx"":14,""Rot"":true},{""Idx"":5,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":10,""Rot"":false},{""Idx"":12,""Rot"":true},{""Idx"":7,""Rot"":false},{""Idx"":11,""Rot"":false},{""Idx"":19,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":18,""Rot"":false}]"
52468,52468,solved1,8442,4712302,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":4,""Rot"":false},{""Idx"":5,""Rot"":false},{""Idx"":6,""Rot"":false},{""Idx"":7,""Rot"":false},{""Idx"":9,""Rot"":true},{""Idx"":19,""Rot"":false},{""Idx"":12,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":10,""Rot"":false},{""Idx"":8,""Rot"":false},{""Idx"":16,""Rot"":true},{""Idx"":11,""Rot"":false},{""Idx"":18,""Rot"":false},{""Idx"":17,""Rot"":true},{""Idx"":14,""Rot"":false},{""Idx"":15,""Rot"":false}]"
