"rows";"cols";"tiles";"n_tiles";"strategy";"n_simulations";"score";"solution_found";"n_tiles_placed";"created_on";"external_id"
"21";"24";"[[2, 1], [3, 1], [4, 1], [6, 1], [8, 1], [3, 2], [4, 2], [5, 2], [6, 2], [8, 2], [9, 2], [10, 2], [6, 3], [5, 4], [9, 4], [10, 4], [7, 5], [7, 6], [10, 9], [11, 10]]";"20";"avg_depth";"100";"0.0";"True";"264715";"2020-06-03 16:56:28.174902+00:00";"22983"
"23";"67";"[[6, 1], [9, 1], [11, 1], [4, 2], [13, 2], [9, 3], [13, 3], [14, 3], [15, 3], [14, 6], [11, 7], [15, 7], [12, 8], [13, 8], [14, 8], [15, 8], [15, 10], [12, 11], [14, 12], [15, 12]]";"20";"max_depth";"100";"1.0";"False";"215789";"2020-03-19 09:46:10.607532+00:00";"23390"
"23";"67";"[[6, 1], [9, 1], [11, 1], [4, 2], [13, 2], [9, 3], [13, 3], [14, 3], [15, 3], [14, 6], [11, 7], [15, 7], [12, 8], [13, 8], [14, 8], [15, 8], [15, 10], [12, 11], [14, 12], [15, 12]]";"20";"avg_depth";"100";"2.0";"False";"267530";"2020-03-19 09:46:08.616911+00:00";"23390"
"21";"67";"[[12, 1], [17, 1], [6, 2], [7, 2], [17, 2], [4, 3], [6, 3], [9, 3], [13, 3], [8, 4], [8, 5], [11, 6], [8, 7], [11, 7], [15, 8], [16, 8], [13, 9], [16, 10], [14, 11], [17, 16]]";"20";"max_depth";"100";"1.0";"False";"246205";"2020-03-19 09:37:09.617850+00:00";"23588"
"21";"67";"[[12, 1], [17, 1], [6, 2], [7, 2], [17, 2], [4, 3], [6, 3], [9, 3], [13, 3], [8, 4], [8, 5], [11, 6], [8, 7], [11, 7], [15, 8], [16, 8], [13, 9], [16, 10], [14, 11], [17, 16]]";"20";"avg_depth";"100";"3.0";"False";"283479";"2020-03-19 09:36:37.174800+00:00";"23588"
"21";"67";"[[8, 1], [14, 2], [5, 3], [11, 3], [12, 3], [13, 3], [7, 4], [15, 5], [10, 6], [11, 6], [8, 7], [10, 7], [14, 7], [10, 8], [11, 8], [13, 8], [14, 8], [12, 9], [15, 9], [14, 12]]";"20";"max_depth";"100";"4.0";"False";"195005";"2020-03-19 09:28:41.745581+00:00";"23387"
"21";"67";"[[8, 1], [14, 2], [5, 3], [11, 3], [12, 3], [13, 3], [7, 4], [15, 5], [10, 6], [11, 6], [8, 7], [10, 7], [14, 7], [10, 8], [11, 8], [13, 8], [14, 8], [12, 9], [15, 9], [14, 12]]";"20";"avg_depth";"100";"4.0";"False";"229602";"2020-03-19 09:27:54.941588+00:00";"23387"
"19";"47";"[[5, 1], [6, 1], [8, 1], [10, 1], [12, 1], [3, 2], [6, 2], [8, 2], [11, 3], [12, 3], [7, 4], [9, 4], [15, 4], [13, 5], [8, 6], [12, 6], [14, 6], [9, 8], [13, 10], [14, 11]]";"20";"max_depth";"100";"2.0";"False";"278489";"2020-03-19 09:18:50.725710+00:00";"23386"
"19";"47";"[[5, 1], [6, 1], [8, 1], [10, 1], [12, 1], [3, 2], [6, 2], [8, 2], [11, 3], [12, 3], [7, 4], [9, 4], [15, 4], [13, 5], [8, 6], [12, 6], [14, 6], [9, 8], [13, 10], [14, 11]]";"20";"avg_depth";"100";"2.0";"False";"292890";"2020-03-19 09:18:41.607089+00:00";"23386"
"26";"47";"[[11, 1], [12, 1], [3, 2], [11, 2], [12, 2], [5, 3], [9, 3], [11, 3], [6, 4], [10, 5], [11, 5], [12, 6], [13, 6], [11, 7], [12, 7], [14, 7], [11, 9], [11, 10], [13, 11], [14, 13]]";"20";"max_depth";"100";"1.0";"False";"178796";"2020-03-19 09:11:37.807156+00:00";"23380"
"26";"47";"[[11, 1], [12, 1], [3, 2], [11, 2], [12, 2], [5, 3], [9, 3], [11, 3], [6, 4], [10, 5], [11, 5], [12, 6], [13, 6], [11, 7], [12, 7], [14, 7], [11, 9], [11, 10], [13, 11], [14, 13]]";"20";"avg_depth";"100";"3.0";"False";"221011";"2020-03-19 09:11:15.286254+00:00";"23380"
