"rows";"cols";"tiles";"n_tiles";"external_id"
"23";"67";"[[6, 1], [9, 1], [11, 1], [4, 2], [13, 2], [9, 3], [13, 3], [14, 3], [15, 3], [14, 6], [11, 7], [15, 7], [12, 8], [13, 8], [14, 8], [15, 8], [15, 10], [12, 11], [14, 12], [15, 12]]";"20";"23390"
"21";"67";"[[12, 1], [17, 1], [6, 2], [7, 2], [17, 2], [4, 3], [6, 3], [9, 3], [13, 3], [8, 4], [8, 5], [11, 6], [8, 7], [11, 7], [15, 8], [16, 8], [13, 9], [16, 10], [14, 11], [17, 16]]";"20";"23588"
"21";"67";"[[8, 1], [14, 2], [5, 3], [11, 3], [12, 3], [13, 3], [7, 4], [15, 5], [10, 6], [11, 6], [8, 7], [10, 7], [14, 7], [10, 8], [11, 8], [13, 8], [14, 8], [12, 9], [15, 9], [14, 12]]";"20";"23387"
"19";"47";"[[5, 1], [6, 1], [8, 1], [10, 1], [12, 1], [3, 2], [6, 2], [8, 2], [11, 3], [12, 3], [7, 4], [9, 4], [15, 4], [13, 5], [8, 6], [12, 6], [14, 6], [9, 8], [13, 10], [14, 11]]";"20";"23386"
"26";"47";"[[11, 1], [12, 1], [3, 2], [11, 2], [12, 2], [5, 3], [9, 3], [11, 3], [6, 4], [10, 5], [11, 5], [12, 6], [13, 6], [11, 7], [12, 7], [14, 7], [11, 9], [11, 10], [13, 11], [14, 13]]";"20";"23380"
"33";"39";"[[4, 1], [5, 1], [13, 1], [14, 1], [7, 2], [12, 3], [7, 4], [9, 4], [10, 4], [13, 4], [14, 4], [7, 5], [8, 6], [12, 6], [12, 9], [14, 9], [15, 9], [14, 10], [13, 11], [14, 13]]";"20";"23470"
"33";"39";"[[13, 1], [4, 2], [10, 2], [11, 3], [12, 3], [13, 3], [12, 4], [12, 5], [13, 5], [14, 5], [11, 6], [12, 6], [10, 7], [11, 7], [12, 7], [9, 8], [10, 8], [11, 8], [12, 11], [14, 11]]";"20";"23367"
"17";"55";"[[3, 1], [4, 1], [6, 1], [4, 2], [6, 2], [7, 2], [12, 2], [13, 4], [7, 5], [8, 5], [9, 5], [10, 5], [12, 5], [9, 6], [10, 6], [12, 6], [13, 6], [14, 7], [14, 8], [12, 9]]";"20";"23352"
"40";"43";"[[7, 1], [13, 1], [14, 1], [4, 3], [11, 4], [10, 5], [8, 6], [13, 6], [11, 7], [10, 8], [12, 8], [10, 9], [13, 9], [11, 10], [12, 10], [14, 10], [12, 11], [14, 11], [13, 12], [14, 13]]";"20";"23344"
"28";"42";"[[2, 1], [4, 1], [7, 1], [12, 1], [8, 2], [9, 2], [12, 3], [13, 3], [11, 4], [12, 4], [14, 4], [14, 5], [8, 7], [13, 7], [14, 7], [11, 8], [14, 8], [13, 9], [13, 10], [12, 11]]";"20";"23371"
"28";"42";"[[4, 1], [5, 1], [11, 1], [12, 1], [14, 1], [12, 2], [4, 3], [5, 3], [12, 3], [8, 4], [13, 5], [14, 5], [9, 6], [8, 7], [14, 7], [12, 8], [12, 10], [13, 10], [14, 10], [14, 13]]";"20";"23343"
"19";"55";"[[3, 1], [6, 1], [9, 1], [5, 2], [8, 2], [13, 2], [14, 2], [6, 3], [7, 3], [12, 3], [14, 3], [11, 4], [13, 4], [13, 5], [13, 6], [9, 8], [13, 8], [10, 9], [13, 11], [14, 13]]";"20";"23338"
"33";"33";"[[5, 1], [9, 1], [14, 1], [5, 2], [10, 2], [11, 2], [13, 2], [4, 3], [6, 3], [10, 4], [8, 5], [11, 5], [14, 5], [12, 6], [14, 6], [8, 7], [12, 8], [10, 9], [14, 12], [14, 13]]";"20";"23336"
"28";"46";"[[6, 1], [8, 1], [11, 1], [8, 2], [14, 2], [4, 3], [8, 3], [15, 3], [5, 4], [12, 4], [9, 5], [15, 5], [11, 6], [9, 7], [14, 7], [14, 8], [13, 9], [12, 11], [15, 12], [14, 13]]";"20";"23416"
"28";"46";"[[2, 1], [8, 1], [6, 2], [11, 2], [8, 3], [12, 3], [8, 4], [14, 4], [8, 5], [9, 5], [11, 5], [12, 6], [10, 7], [11, 7], [9, 8], [11, 9], [12, 9], [12, 10], [13, 12], [14, 13]]";"20";"23329"
"25";"44";"[[3, 1], [8, 1], [9, 1], [3, 2], [7, 2], [13, 2], [14, 2], [14, 3], [6, 4], [8, 4], [9, 4], [9, 5], [16, 5], [9, 6], [11, 7], [9, 8], [15, 8], [10, 9], [11, 10], [16, 14]]";"20";"23483"
"25";"44";"[[6, 1], [10, 1], [3, 2], [4, 2], [6, 2], [10, 2], [7, 3], [11, 3], [10, 4], [11, 4], [13, 4], [14, 5], [9, 6], [11, 6], [8, 7], [12, 8], [13, 9], [14, 9], [12, 10], [13, 11]]";"20";"23327"
"27";"52";"[[5, 1], [10, 1], [14, 2], [9, 3], [14, 3], [7, 4], [14, 4], [7, 5], [10, 5], [14, 5], [9, 6], [12, 6], [14, 6], [13, 7], [9, 8], [14, 9], [11, 10], [12, 10], [13, 12], [14, 12]]";"20";"23323"
"32";"34";"[[6, 1], [11, 1], [13, 1], [3, 2], [4, 2], [7, 2], [5, 3], [14, 3], [7, 4], [13, 4], [9, 5], [12, 5], [7, 6], [12, 6], [9, 7], [10, 7], [11, 9], [13, 9], [13, 11], [14, 13]]";"20";"23322"
"24";"47";"[[5, 1], [11, 1], [9, 2], [14, 2], [9, 3], [11, 3], [10, 4], [11, 4], [9, 5], [10, 5], [9, 6], [10, 6], [14, 6], [8, 7], [11, 7], [12, 7], [10, 8], [10, 9], [11, 10], [12, 11]]";"20";"23320"
