"job_id","puzzle_id","num_tiles","board_width","board_height","tiles","start","end","their_id"
"55290","55290","20","17","65","[{""X"":4,""Y"":1},{""X"":14,""Y"":1},{""X"":3,""Y"":2},{""X"":7,""Y"":2},{""X"":10,""Y"":2},{""X"":12,""Y"":2},{""X"":5,""Y"":3},{""X"":8,""Y"":4},{""X"":9,""Y"":4},{""X"":11,""Y"":4},{""X"":14,""Y"":4},{""X"":11,""Y"":5},{""X"":11,""Y"":6},{""X"":13,""Y"":6},{""X"":9,""Y"":7},{""X"":10,""Y"":7},{""X"":12,""Y"":9},{""X"":14,""Y"":9},{""X"":12,""Y"":10},{""X"":14,""Y"":11}]","","","23314"
"55284","55284","20","28","46","[{""X"":2,""Y"":1},{""X"":8,""Y"":1},{""X"":6,""Y"":2},{""X"":11,""Y"":2},{""X"":8,""Y"":3},{""X"":12,""Y"":3},{""X"":8,""Y"":4},{""X"":14,""Y"":4},{""X"":8,""Y"":5},{""X"":9,""Y"":5},{""X"":11,""Y"":5},{""X"":12,""Y"":6},{""X"":10,""Y"":7},{""X"":11,""Y"":7},{""X"":9,""Y"":8},{""X"":11,""Y"":9},{""X"":12,""Y"":9},{""X"":12,""Y"":10},{""X"":13,""Y"":12},{""X"":14,""Y"":13}]","","","23329"
"55274","55274","20","28","46","[{""X"":6,""Y"":1},{""X"":8,""Y"":1},{""X"":11,""Y"":1},{""X"":8,""Y"":2},{""X"":14,""Y"":2},{""X"":4,""Y"":3},{""X"":8,""Y"":3},{""X"":15,""Y"":3},{""X"":5,""Y"":4},{""X"":12,""Y"":4},{""X"":9,""Y"":5},{""X"":15,""Y"":5},{""X"":11,""Y"":6},{""X"":9,""Y"":7},{""X"":14,""Y"":7},{""X"":14,""Y"":8},{""X"":13,""Y"":9},{""X"":12,""Y"":11},{""X"":15,""Y"":12},{""X"":14,""Y"":13}]","","","23416"
"55264","55264","20","33","33","[{""X"":5,""Y"":1},{""X"":9,""Y"":1},{""X"":14,""Y"":1},{""X"":5,""Y"":2},{""X"":10,""Y"":2},{""X"":11,""Y"":2},{""X"":13,""Y"":2},{""X"":4,""Y"":3},{""X"":6,""Y"":3},{""X"":10,""Y"":4},{""X"":8,""Y"":5},{""X"":11,""Y"":5},{""X"":14,""Y"":5},{""X"":12,""Y"":6},{""X"":14,""Y"":6},{""X"":8,""Y"":7},{""X"":12,""Y"":8},{""X"":10,""Y"":9},{""X"":14,""Y"":12},{""X"":14,""Y"":13}]","","","23336"
"55254","55254","20","19","55","[{""X"":3,""Y"":1},{""X"":6,""Y"":1},{""X"":9,""Y"":1},{""X"":5,""Y"":2},{""X"":8,""Y"":2},{""X"":13,""Y"":2},{""X"":14,""Y"":2},{""X"":6,""Y"":3},{""X"":7,""Y"":3},{""X"":12,""Y"":3},{""X"":14,""Y"":3},{""X"":11,""Y"":4},{""X"":13,""Y"":4},{""X"":13,""Y"":5},{""X"":13,""Y"":6},{""X"":9,""Y"":8},{""X"":13,""Y"":8},{""X"":10,""Y"":9},{""X"":13,""Y"":11},{""X"":14,""Y"":13}]","","","23338"
"55244","55244","20","28","42","[{""X"":4,""Y"":1},{""X"":5,""Y"":1},{""X"":11,""Y"":1},{""X"":12,""Y"":1},{""X"":14,""Y"":1},{""X"":12,""Y"":2},{""X"":4,""Y"":3},{""X"":5,""Y"":3},{""X"":12,""Y"":3},{""X"":8,""Y"":4},{""X"":13,""Y"":5},{""X"":14,""Y"":5},{""X"":9,""Y"":6},{""X"":8,""Y"":7},{""X"":14,""Y"":7},{""X"":12,""Y"":8},{""X"":12,""Y"":10},{""X"":13,""Y"":10},{""X"":14,""Y"":10},{""X"":14,""Y"":13}]","","","23343"
"55234","55234","20","28","42","[{""X"":2,""Y"":1},{""X"":4,""Y"":1},{""X"":7,""Y"":1},{""X"":12,""Y"":1},{""X"":8,""Y"":2},{""X"":9,""Y"":2},{""X"":12,""Y"":3},{""X"":13,""Y"":3},{""X"":11,""Y"":4},{""X"":12,""Y"":4},{""X"":14,""Y"":4},{""X"":14,""Y"":5},{""X"":8,""Y"":7},{""X"":13,""Y"":7},{""X"":14,""Y"":7},{""X"":11,""Y"":8},{""X"":14,""Y"":8},{""X"":13,""Y"":9},{""X"":13,""Y"":10},{""X"":12,""Y"":11}]","","","23371"
"55224","55224","20","40","43","[{""X"":7,""Y"":1},{""X"":13,""Y"":1},{""X"":14,""Y"":1},{""X"":4,""Y"":3},{""X"":11,""Y"":4},{""X"":10,""Y"":5},{""X"":8,""Y"":6},{""X"":13,""Y"":6},{""X"":11,""Y"":7},{""X"":10,""Y"":8},{""X"":12,""Y"":8},{""X"":10,""Y"":9},{""X"":13,""Y"":9},{""X"":11,""Y"":10},{""X"":12,""Y"":10},{""X"":14,""Y"":10},{""X"":12,""Y"":11},{""X"":14,""Y"":11},{""X"":13,""Y"":12},{""X"":14,""Y"":13}]","","","23344"
"55214","55214","20","17","55","[{""X"":3,""Y"":1},{""X"":4,""Y"":1},{""X"":6,""Y"":1},{""X"":4,""Y"":2},{""X"":6,""Y"":2},{""X"":7,""Y"":2},{""X"":12,""Y"":2},{""X"":13,""Y"":4},{""X"":7,""Y"":5},{""X"":8,""Y"":5},{""X"":9,""Y"":5},{""X"":10,""Y"":5},{""X"":12,""Y"":5},{""X"":9,""Y"":6},{""X"":10,""Y"":6},{""X"":12,""Y"":6},{""X"":13,""Y"":6},{""X"":14,""Y"":7},{""X"":14,""Y"":8},{""X"":12,""Y"":9}]","","","23352"
"55204","55204","20","33","39","[{""X"":13,""Y"":1},{""X"":4,""Y"":2},{""X"":10,""Y"":2},{""X"":11,""Y"":3},{""X"":12,""Y"":3},{""X"":13,""Y"":3},{""X"":12,""Y"":4},{""X"":12,""Y"":5},{""X"":13,""Y"":5},{""X"":14,""Y"":5},{""X"":11,""Y"":6},{""X"":12,""Y"":6},{""X"":10,""Y"":7},{""X"":11,""Y"":7},{""X"":12,""Y"":7},{""X"":9,""Y"":8},{""X"":10,""Y"":8},{""X"":11,""Y"":8},{""X"":12,""Y"":11},{""X"":14,""Y"":11}]","","","23367"
