"rows";"cols";"tiles";"n_tiles"
"14";"10";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [4, 1], [4, 1], [6, 1], [7, 1], [2, 2], [3, 2], [4, 2], [4, 2], [6, 3], [8, 3], [7, 5]]";"20"
"37";"36";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [5, 1], [5, 1], [5, 1], [6, 1], [11, 1], [14, 1], [21, 1], [25, 1], [26, 1], [26, 1], [26, 1], [26, 1], [10, 5], [36, 6], [36, 24]]";"20"
"32";"22";"[[2, 1], [3, 1], [9, 1], [12, 1], [16, 1], [16, 1], [16, 1], [3, 2], [3, 2], [4, 2], [5, 2], [9, 2], [16, 2], [5, 3], [9, 3], [5, 4], [8, 4], [9, 4], [12, 7], [21, 16]]";"20"
"26";"29";"[[1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 1], [16, 1], [2, 2], [2, 2], [2, 2], [10, 2], [8, 3], [13, 4], [7, 6], [8, 6], [10, 7], [16, 10], [18, 16]]";"20"
"15";"14";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [4, 1], [5, 1], [5, 1], [9, 1], [9, 1], [10, 1], [14, 1], [4, 2], [5, 2], [5, 2], [5, 3], [9, 5], [11, 5]]";"20"
"33";"28";"[[2, 1], [2, 1], [2, 1], [8, 1], [9, 1], [9, 1], [9, 1], [14, 1], [17, 1], [17, 1], [23, 1], [7, 2], [8, 2], [22, 2], [23, 4], [7, 5], [16, 5], [23, 5], [14, 8], [19, 16]]";"20"
"35";"10";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [4, 1], [4, 1], [4, 1], [4, 1], [4, 1], [9, 1], [20, 1], [23, 1], [25, 1], [25, 1], [5, 2], [33, 2], [25, 4], [7, 6]]";"20"
"33";"34";"[[4, 1], [13, 1], [16, 1], [17, 1], [17, 1], [19, 1], [19, 1], [20, 1], [20, 1], [17, 2], [20, 2], [17, 3], [9, 4], [20, 4], [20, 4], [20, 5], [17, 6], [14, 7], [10, 9], [19, 14]]";"20"
"28";"22";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [4, 1], [4, 1], [4, 1], [4, 1], [5, 1], [12, 1], [16, 2], [16, 2], [16, 2], [11, 3], [11, 5], [16, 6], [16, 7], [15, 12]]";"20"
"37";"34";"[[1, 1], [9, 1], [9, 1], [10, 1], [13, 1], [22, 1], [25, 1], [36, 1], [36, 1], [12, 2], [14, 2], [22, 3], [6, 4], [36, 4], [36, 4], [8, 6], [13, 7], [22, 7], [16, 12], [14, 13]]";"20"
"13";"15";"[[1, 1], [2, 1], [3, 1], [4, 1], [4, 1], [4, 1], [6, 1], [6, 1], [9, 1], [15, 1], [3, 2], [3, 2], [3, 2], [3, 2], [4, 2], [6, 2], [14, 2], [15, 2], [5, 3], [6, 4]]";"20"
"25";"22";"[[2, 1], [2, 1], [4, 1], [4, 1], [5, 1], [7, 1], [9, 1], [19, 1], [4, 2], [9, 2], [15, 2], [19, 2], [8, 3], [5, 4], [5, 4], [15, 4], [18, 4], [9, 7], [8, 8], [9, 9]]";"20"
